last_name,email,role,supervisor
Hanson,vmack@hotmail.com,Software Engineer,Engineering Manager
Miller,sharon67@novak.com,Data Analyst,Director of Data
Ortiz,bradley67@yahoo.com,HR Manager,HR Director
Jarvis,mwillis@marshall.biz,Marketing Coordinator,Marketing Director
Liu,kayla12@hotmail.com,Sales Executive,Sales Manager
Rodriguez,latoya02@clark.info,Software Engineer,Engineering Manager
Stone,fkim@hotmail.com,Data Analyst,Director of Data
Davidson,smithbenjamin@hotmail.com,HR Manager,HR Director
Kim,heatherjohnson@fernandez.com,Marketing Coordinator,Marketing Director
Petty,tonya61@miles-morris.biz,Sales Executive,Sales Manager
